 Energia (KeV)            Area (m^2) 
       3.18521      6.50147
       3.19543      6.49854
       3.20568      6.51435
       3.21597      6.52946
       3.22629      6.54420
       3.23664      6.55742
       3.24703      6.56997
       3.25745      6.58013
       3.26790      6.58951
       3.27839      6.59655
       3.28891      6.60326
       3.29946      6.60790
       3.31005      6.61251
       3.32067      6.61182
       3.33133      6.61202
       3.34202      6.61730
       3.35274      6.62129
       3.36350      6.62096
       3.37430      6.62035
       3.38512      6.61917
       3.39599      6.61402
       3.40688      6.60564
       3.41782      6.59279
       3.42878      6.57817
       3.43979      6.53909
       3.45082      6.50059
       3.46190      6.50821
       3.47301      6.52005
       3.48415      6.54330
       3.49533      6.58401
       3.50655      6.56827
       3.51780      6.58814
       3.52909      6.55074
       3.54041      6.57883
       3.55178      6.62236
       3.56317      6.62906
       3.57461      6.63608
       3.58608      6.63728
       3.59759      6.63853
       3.60913      6.63801
       3.62071      6.63717
       3.63233      6.63638
       3.64399      6.63570
       3.65568      6.63688
       3.66741      6.64009
       3.67918      6.64105
       3.69099      6.63753
       3.70283      6.63502
       3.71471      6.63546
       3.72663      6.63576
       3.73859      6.63399
       3.75059      6.63239
       3.76262      6.63086
       3.77470      6.62954
       3.78681      6.62792
       3.79896      6.62647
       3.81115      6.62567
       3.82338      6.62512
       3.83565      6.62562
       3.84796      6.62650
       3.86031      6.62426
       3.87270      6.62153
       3.88512      6.62109
       3.89759      6.62136
       3.91010      6.61707
       3.92265      6.61178
       3.93523      6.61011
       3.94786      6.60943
       3.96053      6.60772
       3.97324      6.60600
       3.98599      6.60370
       3.99878      6.60149
       4.01161      6.59677
       4.02449      6.59193
       4.03740      6.59029
       4.05036      6.58888
       4.06335      6.58404
       4.07639      6.57987
       4.08947      6.58027
       4.10260      6.57949
       4.11576      6.57298
       4.12897      6.56795
       4.14222      6.56622
       4.15551      6.56332
       4.16885      6.55863
       4.18222      6.55657
       4.19564      6.55681
       4.20911      6.55407
       4.22261      6.54993
       4.23617      6.56695
       4.24976      6.58952
       4.26339      6.54269
       4.27708      6.50198
       4.29080      6.50464
       4.30457      6.50478
       4.31838      6.49949
       4.33224      6.49492
       4.34614      6.49105
       4.36009      6.48762
       4.37408      6.48447
       4.38812      6.47693
       4.40220      6.46979
       4.41632      6.46605
       4.43050      6.46083
       4.44471      6.45311
       4.45898      6.44952
       4.47329      6.44853
       4.48764      6.43933
       4.50204      6.42956
       4.51649      6.42301
       4.53098      6.41675
       4.54552      6.41089
       4.56011      6.40478
       4.57474      6.39865
       4.58942      6.39354
       4.60415      6.38809
       4.61892      6.38150
       4.63374      6.37503
       4.64861      6.36868
       4.66353      6.36239
